departamento,slug,anio,perdida_ha,cobertura_2000_ha,perdida_total_ha,perdida_pct
Guairá,guaira,2006,903.81,178031.2,33253.24,18.68
Guairá,guaira,2007,1196.61,178031.2,33253.24,18.68
Guairá,guaira,2008,985.01,178031.2,33253.24,18.68
Guairá,guaira,2009,588.13,178031.2,33253.24,18.68
Guairá,guaira,2010,749.83,178031.2,33253.24,18.68
Guairá,guaira,2011,1614.87,178031.2,33253.24,18.68
Guairá,guaira,2012,1430.34,178031.2,33253.24,18.68
Guairá,guaira,2013,711.42,178031.2,33253.24,18.68
Guairá,guaira,2014,847.57,178031.2,33253.24,18.68
Guairá,guaira,2015,596.47,178031.2,33253.24,18.68
Guairá,guaira,2016,1672.66,178031.2,33253.24,18.68
Guairá,guaira,2017,2472.85,178031.2,33253.24,18.68
Guairá,guaira,2018,682.78,178031.2,33253.24,18.68
Guairá,guaira,2019,939.74,178031.2,33253.24,18.68
Guairá,guaira,2020,1414.16,178031.2,33253.24,18.68
Guairá,guaira,2021,1576.18,178031.2,33253.24,18.68
Guairá,guaira,2022,1500.23,178031.2,33253.24,18.68
Guairá,guaira,2023,1849.53,178031.2,33253.24,18.68
Guairá,guaira,2024,1622.14,178031.2,33253.24,18.68
Guairá,guaira,2025,2093.94,178031.2,33253.24,18.68
